Date,Open,High,Low,Close,Volume,Adj Close
2014-10-31,19.84,20.02,19.55,19.96,114400,19.96
2014-10-30,18.96,19.67,18.77,19.49,110500,19.49
2014-10-29,19.26,19.30,18.89,18.99,66900,18.99
2014-10-28,18.93,19.32,18.93,19.23,103800,19.23
2014-10-27,18.73,19.05,18.54,18.96,79300,18.96
2014-10-24,18.79,18.96,18.69,18.89,35200,18.89
2014-10-23,18.51,18.99,18.45,18.73,216000,18.73
2014-10-22,18.54,18.65,18.28,18.42,37200,18.42
2014-10-21,17.92,18.66,17.87,18.59,201700,18.59
2014-10-20,18.04,18.22,17.68,17.91,62600,17.91
2014-10-17,18.71,18.71,18.03,18.06,67700,18.06
2014-10-16,18.19,18.62,18.17,18.45,38600,18.45
2014-10-15,18.16,18.21,17.72,18.16,63800,18.16
2014-10-14,18.13,18.50,17.90,18.22,74700,18.22
2014-10-13,17.93,18.24,17.70,18.07,47500,18.07
2014-10-10,17.94,18.20,17.79,17.87,96100,17.87
2014-10-09,18.04,18.10,17.64,17.99,62100,17.99
2014-10-08,17.76,18.23,17.30,18.04,70800,18.04
2014-10-07,17.85,18.10,17.77,17.84,60900,17.84
2014-10-06,18.11,18.11,17.81,17.95,114300,17.95
2014-10-03,17.85,18.22,17.66,17.97,52100,17.97
2014-10-02,17.28,17.72,17.18,17.66,45700,17.66
2014-10-01,17.28,17.52,17.18,17.31,68500,17.31
